Model,Accuracy,F1 Score,AUC,Pred Rate (Female),Pred Rate (Male),Disparate Impact,Stat Parity Diff,Equal Opportunity Diff
Random Forest (Baseline),0.807,0.175,0.583,0.083,0.066,1.252,0.017,-0.018
Random Forest (Fair — Reweighing),0.798,0.168,0.589,0.107,0.066,1.609,0.04,-0.018
